latitude;longitude;alfa
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.2993516;18.8487641;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.299356;18.848763;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.01
50.29936;18.8487616;0.01
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.19
50.29936;18.8487616;0.05
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.06
50.29936;18.8487616;0.00
50.29936;18.8487616;0.76
50.29936;18.8487616;0.00
50.29936;18.8487616;0.45
50.29936;18.8487616;1.33
50.29936;18.8487616;0.00
50.29936;18.8487616;0.08
50.29936;18.8487616;0.59
50.29936;18.8487616;0.04
50.29936;18.8487616;0.26
50.29936;18.8487616;0.01
50.29936;18.8487616;0.22
50.29936;18.8487616;0.22
50.29936;18.8487616;0.09
50.29936;18.8487616;1.31
50.29936;18.8487616;0.03
50.29936;18.8487616;0.89
50.29936;18.8487616;0.02
50.29936;18.8487616;0.00
50.29936;18.8487616;0.00
50.29936;18.8487616;0.68
50.29936;18.8487616;0.16
50.29936;18.8487616;1.28
50.29936;18.8487616;0.08
50.29936;18.8487616;1.31
50.29936;18.8487616;0.08
50.29936;18.8487616;0.00
50.29936;18.8487616;0.01
50.29936;18.8487616;0.05
50.29936;18.8487616;0.02
50.29936;18.8487616;0.01
50.29936;18.8487616;0.15
50.29936;18.8487616;0.19
50.29936;18.8487616;0.19
50.29936;18.8487616;0.03
50.29936;18.8487616;0.12
50.29936;18.8487616;0.00
50.29936;18.8487616;0.05
50.29936;18.8487616;0.00
50.29936;18.8487616;0.18
50.29936;18.8487616;0.99
50.29936;18.8487616;3.22
50.29936;18.8487616;0.36
50.29936;18.8487616;9.08
50.29936;18.8487616;0.11
50.29936;18.8487616;2.63
50.29936;18.8487616;0.03
50.29936;18.8487616;0.31
50.29936;18.8487616;0.00
50.2989276;18.847586;0.35
50.2989276;18.847586;0.77
50.2989276;18.847586;0.24
50.2989276;18.847586;0.39
50.2989276;18.847586;0.65
50.2989276;18.847586;0.65
50.2989276;18.847586;0.08
50.2989276;18.847586;0.06
50.2989276;18.847586;0.20
50.2989276;18.847586;0.00
50.2989276;18.847586;0.00
50.2989276;18.847586;0.00
50.2989276;18.847586;0.00
50.2989276;18.847586;0.06
50.2989276;18.847586;0.00
50.2989276;18.847586;0.37
50.2989276;18.847586;0.00
50.2989276;18.847586;2.35
50.2989276;18.847586;0.27
50.2989276;18.847586;0.21
50.2989276;18.847586;0.05
50.2989276;18.847586;0.07
50.2989276;18.847586;0.00
50.2989276;18.847586;0.00
50.2989276;18.847586;0.00
50.2989276;18.847586;0.05
50.2989276;18.847586;0.05
50.2989276;18.847586;0.05
50.2989276;18.847586;1.60
50.2989276;18.847586;0.09
50.2989276;18.847586;0.01
50.2989276;18.847586;0.11
50.2989276;18.847586;0.07
50.2989276;18.847586;0.03
50.2989276;18.847586;0.02
50.2989276;18.847586;0.01
50.2989276;18.847586;0.00
50.2989276;18.847586;0.05
50.2989276;18.847586;0.69
50.2989276;18.847586;0.04
50.2989276;18.847586;0.85
50.2989276;18.847586;0.11
50.2989276;18.847586;0.56
50.2989276;18.847586;0.00
50.2989276;18.847586;1.56
50.2989276;18.847586;0.00
50.2989276;18.847586;0.06
50.2989276;18.847586;0.06
50.2989276;18.847586;0.15
50.2989276;18.847586;0.00
50.2989276;18.847586;1.70
50.2989276;18.847586;0.00
50.2989276;18.847586;4.72
50.2989276;18.847586;0.12
50.2989276;18.847586;4.21
50.2989276;18.847586;1.94
50.2989276;18.847586;0.95
50.2989276;18.847586;0.22
50.2989276;18.847586;0.11
50.2989276;18.847586;0.53
50.2989276;18.847586;0.00
50.2989276;18.847586;0.91
50.2989276;18.847586;0.16
50.2989276;18.847586;0.68
50.2989276;18.847586;0.00
50.2989276;18.847586;0.52
50.2989276;18.847586;0.06
50.2989276;18.847586;0.07
50.2989276;18.847586;0.07
50.2989276;18.847586;0.00
50.2989276;18.847586;0.02
50.2989276;18.847586;0.04
50.2989276;18.847586;0.52
50.2989276;18.847586;0.84
50.2989276;18.847586;0.09
50.2989276;18.847586;0.00
50.2989276;18.847586;0.00
50.2989276;18.847586;0.02
50.2989276;18.847586;1.05
50.2989276;18.847586;0.14
50.2989276;18.847586;0.00
50.2989276;18.847586;0.01
50.2989276;18.847586;0.03
50.2989276;18.847586;0.00
50.2989276;18.847586;0.25
50.2989276;18.847586;0.00
50.2989276;18.847586;0.31
50.2989276;18.847586;0.00
50.2989276;18.847586;0.01
50.2989276;18.847586;0.01
50.2989276;18.847586;0.00
50.2989276;18.847586;0.00
50.2989276;18.847586;0.00
50.2989276;18.847586;0.01
50.2989276;18.847586;0.01
50.2989276;18.847586;0.15
50.2989276;18.847586;0.04
50.2989276;18.847586;0.10
50.2989276;18.847586;0.47
50.2989276;18.847586;0.08
50.2989276;18.847586;0.16
50.2989276;18.847586;0.00
50.2989276;18.847586;0.04
50.2989276;18.847586;0.00
50.2989276;18.847586;0.00
50.298936;18.8473537;0.07
50.298936;18.8473537;0.13
50.298936;18.8473537;0.69
50.298936;18.8473537;0.18
50.298936;18.8473537;0.13
50.298936;18.8473537;0.13
50.298936;18.8473537;0.05
50.298936;18.8473537;0.00
50.298936;18.8473537;0.07
50.298936;18.8473537;0.00
50.298936;18.8473537;0.02
50.298936;18.8473537;0.00
50.298936;18.8473537;0.07
50.298936;18.8473537;0.01
50.298936;18.8473537;0.24
50.298936;18.8473537;0.15
50.298936;18.8473537;0.19
50.298936;18.8473537;0.00
50.298936;18.8473537;0.46
50.298936;18.8473537;0.01
50.298936;18.8473537;0.01
50.298936;18.8473537;0.01
50.298936;18.8473537;0.19
